,0
0,613
1,631
2,5
3,57
4,617
5,718
6,109
7,3
8,150
9,131
10,585
11,250
12,255
13,52
14,136
15,677
16,6
17,615
18,48
19,43
20,269
21,720
22,88
23,630
24,27
25,678
26,62
27,594
28,8
29,89
