,0
0,2
1,62
2,75
3,76
4,80
5,81
6,94
7,97
8,117
9,157
10,174
11,192
12,197
13,236
14,311
15,316
16,395
17,465
18,585
19,589
20,591
21,600
22,606
23,612
24,621
25,625
26,628
27,637
28,661
29,664
