,0
0,20
1,22
2,36
3,75
4,76
5,80
6,91
7,104
8,117
9,192
10,233
11,236
12,287
13,297
14,311
15,412
16,413
17,465
18,471
19,531
20,585
21,592
22,606
23,616
24,623
25,637
26,661
27,677
28,716
29,723
