,0
0,675
1,674
2,725
3,22
4,88
5,594
6,52
7,630
8,615
9,648
10,720
11,31
12,647
13,89
14,646
15,676
16,87
17,21
18,90
19,719
20,716
21,722
22,250
23,626
24,653
25,104
26,346
27,613
28,8
29,105
