,0
0,3
1,16
2,26
3,30
4,82
5,91
6,94
7,104
8,105
9,175
10,194
11,294
12,297
13,313
14,411
15,416
16,432
17,530
18,535
19,590
20,611
21,612
22,626
23,627
24,632
25,635
26,636
27,639
28,647
29,648
