,0
0,659
1,587
2,56
3,476
4,531
5,406
6,357
7,39
8,410
9,351
10,11
11,639
12,673
13,238
14,79
15,23
16,716
17,237
18,665
19,154
20,661
21,727
22,611
23,40
24,233
25,642
26,291
27,22
28,392
29,356
