,0
0,3
1,26
2,30
3,35
4,38
5,42
6,89
7,94
8,98
9,104
10,130
11,174
12,175
13,194
14,249
15,294
16,313
17,372
18,411
19,432
20,491
21,530
22,611
23,612
24,613
25,636
26,639
27,647
28,648
29,728
