,0
0,659
1,652
2,587
3,529
4,410
5,11
6,706
7,684
8,406
9,42
10,57
11,585
12,3
13,228
14,525
15,658
16,92
17,269
18,103
19,476
20,56
21,131
22,150
23,34
24,357
25,32
26,31
27,93
28,136
29,718
