,0
0,291
1,39
2,476
3,40
4,238
5,357
6,529
7,722
8,346
9,531
10,293
11,724
12,410
13,659
14,347
15,269
16,673
17,393
18,465
19,225
20,591
21,584
22,42
23,648
24,586
25,463
26,392
27,22
28,109
29,237
