,0
0,4
1,7
2,8
3,9
4,11
5,12
6,14
7,17
8,18
9,19
10,26
11,43
12,44
13,47
14,52
15,55
16,153
17,164
18,178
19,240
20,308
21,359
22,464
23,594
24,642
25,653
26,680
27,692
28,703
29,719
