,0
0,3
1,20
2,26
3,30
4,35
5,38
6,96
7,104
8,149
9,170
10,249
11,264
12,266
13,289
14,297
15,372
16,411
17,491
18,525
19,530
20,590
21,593
22,611
23,612
24,633
25,636
26,639
27,640
28,648
29,673
